"Page","Impressions","Clicks","CTR","Avg. Position"
"https://docta.me/medicines/sona-duo-1mgg-25mgg-2150","3","1","33.33%","7.333333333333333"
"https://docta.me/doctors/ivana-micevic","3","1","33.33%","1.3333"
"https://docta.me/doctors/visnjic-stanislava","3","1","33.33%","2.6667"
"https://docta.me/doctors/sanja-medenica","3","0","0%","5.333333333333333"
"https://docta.me/doctors/aleksandra-bozovic-celebic","3","1","33.33%","1.6666999999999998"
"https://docta.me/doctors/radovic-nenad","3","2","66.67%","1.3333333333333333"
"https://docta.me/doctors/predrag-dabovic","3","5","166.67000000000002%","1"
"https://docta.me/doctors?lang=en","3","0","0%","4"
"https://docta.me/doctors/vladimir-todorovic","3","1","33.33%","1"
"https://docta.me/labtests/nail-swab-fungi","3","0","0%","6.3333"
"https://docta.me/doctors/tea-dakic?lang=en","3","0","0%","8"
"https://docta.me/clinics/vase-zdravlje-podgorica","3","1","33.33%","6.6667"
"https://docta.me/doctors/aleksandar-popovic","3","3","100%","3.6666666666666665"
"https://docta.me/services/right-hemicolectomy-with-anastomosis","3","2","66.67%","7"
"https://docta.me/doctors/slavisa-perunicic","3","1","33.33%","2"
"https://docta.me/clinics/humana-reprodukcija-budva?lang=en","3","0","0%","4.666666666666667"
"https://docta.me/doctors/suzana-uskokovic?lang=en","3","2","66.67%","3.6666666666666665"
"https://docta.me/doctors/luka-borovinic","3","1","33.33%","3.6666666666666665"
"https://docta.me/services/shoulder-reposition","3","0","0%","2.6667"
"https://docta.me/doctors/696","3","1","33.33%","4"
"https://docta.me/doctors/branko-lutovac?lang=en","3","1","33.33%","5.666666666666667"
"https://docta.me/services/ecg?lang=en","3","1","33.33%","3.3333"
"https://docta.me/services/nipple-reduction","3","1","33.33%","8.3333"
"https://docta.me/?lang=de","3","0","0%","5.666666666666667"
"https://docta.me/medicines/doreta-75mg-650mg-1480","3","2","66.67%","1.6666666666666667"
"https://docta.me/clinics","3","0","0%","4.6667"
"https://docta.me/doctors/nelica-ivanovic-radovic","2","2","100%","1.5"
"https://docta.me/labtests/drug-panel-10-ii?lang=en","2","0","0%","5"
"https://docta.me/clinics/a3-medical-sutomore/doctors","2","0","0%","2"
"https://docta.me/clinics/ars-medica-specijalna-bolnica","2","1","50%","4"
"https://docta.me/doctors/milija-sukovic","2","1","50%","5.5"
"https://docta.me/doctors/danilo-radunovic","2","1","50%","4"
"https://docta.me/doctors/milacic-bojan","2","1","50%","10"
"https://docta.me/doctors/marija-petricevic","2","1","50%","1"
"https://docta.me/services/electrocoagulation-cervix","2","0","0%","5"
"https://docta.me/services/gynecological-subspecialist-examination-with-ultrasound?lang=en","2","0","0%","10"
"https://docta.me/doctors/milica-marovic","2","1","50%","2"
"https://docta.me/doctors/dragan-masulovic","2","1","50%","3.5"
