H02014	Procjena psihomotornog razvoja djeteta sa posebnim potrebama	7139
H02015	Procjena socijalne zrelosti djeteta sa posebnim potrebama	7140
H02016	Timska obrada pacijenta sa smetnjama u razvoju	7141
H02017	Dijagnostika igrom	7142
H02018	Testovi ličnosti djeteta sa posebnim potrebama-Testovi nedovršenih rečenica	7143
H02019	Testovi ličnosti djeteta sa posebnim potrebama-Crtež porodice	7144
H02020	Testovi ličnosti djeteta sa posebnim potrebama - Test ego percepcije	7145
H02021	Savjetodavan rad sa roditeljima	7146
H02022	Savjet pedagoga škole ili vrtića	7147
H02023	Obrada podataka	7148
H02024	Obrada rezultata, integracija rezultata, pisanje nalaza	7149
H02025	Individualna površna terapija	5217
H04001	Socijalni radnik, nalaz i mišljenje	5221
H04002	Socijalni radnik-intervju	5222
H04003	Socijalna anamneza na terenu	7153
H04004	Socio terapija-liječeni pacijenti	7154
H04005	Socio tretman-bračni	7155
H04006	Socio tretman-član porodice	7156
H04007	Socio tretman- porodica-teren	7157
H04008	Socio terapija-individualna seansa	7158
H04009	Socio tretman- radna organizacija	7159
H04010	Vještačenje zakonske odgovornosti	7160
H04011	Saradnja sa službama socijalne zaštite i drugim zdravstvenim ustanovama	7161
H09001	Prva posjeta asertivnog tima u kući osiguranika na udaljenosti do 5 km od Doma zdravlja	7162
H09002	Prva posjeta asertivnog tima u kući osiguranika na udaljenosti od 5-15 km od Doma zdravlja	7163
H09003	Prva posjeta asertivnog tima u kući osiguranika na udaljenosti preko 15 km od Doma zdravlja	7164
H09004	Ponovna posjeta asertivnog tima u kući osiguranika na udaljenosti do 5 km od Doma zdravlja	7165
H09005	Ponovna posjeta asertivnog tima u kući osiguranika na udaljenosti od 5-15 km od Doma zdravlja	7166
H09006	Ponovna posjeta asertivnog tima u kući osiguranika na udaljenosti preko 15 km od Doma zdravlja	7167
X01023	Davanje metadona	2089
G01001	Tuberkulinsko testiranje	5313
G01002	Pregled osoba sa registrovanom TBC	7091
G01003	Pregled osoba iz kontakta	7092
G01004	Pregled i praćenje lica pod hemioprofilaksom	7093
G02001	Prvi kurativni pregled (specijalistički)	7094
G02002	Ponovni kurativni pregled (kontrolni specijalistički)	7095
X01006_TBC	Davanje kiseonika (TBC)	
X01007_TBC	Uzimanje briseva sa slanjem na analizu (TBC)	
X01008	Uzimanje sputuma za analizu na bakterije i gljivice	5293
X01010_TBC	Davanje inhalacije (TBC)	7098
