2057	Pregled medicinske dokumentacije i propisivanje recepta
2058	E-konsultacija sa drugim specijalistom
2059	Profesorski pregled sa ultrazvukom
2060	Specijalistički pregled
2061	Kontrolni specijalistički pregled
2062	Specijalistički pregled sa ultrazvukom
2063	Specijalistički pregled sa dva ultrazvuka
2064	Subspecijalistički pregled
2065	Kontrolni subspecijalistički pregled
2066	Subspecijalistički pregled sa ultrazvukom
2067	Kućna posjeta - uži centar
2068	Kućna posjeta do 3 km
2069	Kućna posjeta preko 3 km
2070	Kućna posjeta - kontrola
2071	Sistematski pregled paket 1 - urološki i hormonski pregled za muškarce
2072	Sistematski pregled paket 2 - hormonska ravnoteža i rana prevencija karcinoma dojke kod žena
2073	Sistematski pregled paket 3 - sveobuhvatna dijagnostika štitne žlijezde
2074	Sistematski pregled paket 4 - metabolički balans i individualni plan ishrane
2075	Sistematski pregled paket 5 - energija, vitalnost i snaga - vitaminski, hormonski i mineralni pregled
2076	Sistematski pregled paket 6 - zdravlje kostiju i prevencija osteoporoze
2077	Sistematski pregled paket 7 - preventivni sistematski pregled za opšte zdravlje
2078	Sistematski pregled - osiguranje
2079	Aplikacija lijeka intramuskularno (dodatnog)
2080	Intramuskularna terapija
2082	Ispiranje uha
2083	Klizma
2084	Laktofan test
2085	Laktofan paket 2 šećera
2086	Medicinsko obezbjeđenje do 3h
2087	Medicinsko obezbjeđenje (dodatni sat)
2088	Plasiranje katetera
2089	Plasiranje nazogastrične sonde
2090	Plasiranje štrajfne za uho
2091	Transport u zemlji BLS do 50 km
2092	Transport u zemlji BLS do 200 km
2093	Transport u zemlji ALS do 50 km
2094	Transport u zemlji ALS do 200 km
2098	Imuno booster infuzija
2099	Mayersov koktel infuzija
2100	After Party koktel infuzija
2101	Iron power infuzija
2102	Prick test na nutritivne i inhalacione alergene
2103	Dopler gornjih i donjih ekstremiteta
2104	Dopler krvnih sudova
2105	Ultrazvuk abdomena
2106	Ultrazvuk abdomena i urotrakta
2107	Ultrazvuk abdomena, urotrakta i štitne žlijezde
2108	Ultrazvuk dojki i štitne žlijezde
2109	Ultrazvuk kukova i bubrega
2110	Ultrazvuk pluća
2111	Ultrazvuk šake
2113	Ultrazvuk vrata
2114	Ekscizija kožnih i potkožnih lezija
2115	Uklanjanje benignih tumora kože
2116	Ekcizija tumora kože sa rekonstrukcijom
2117	Ekcizija ateroma i lipoma
2118	Površinska biopsija (Punch sistem)
2119	Anoskopija
2120	Zavoj
2121	Klinički pregled anorektuma
2122	Krosektomija (uklanjanje vene)
2123	Ekstirpacija u cjelosti
2124	Operacija kile
2125	Incizija
2126	Infiltracija
2127	Ekstirpacija limfnog čvora
2128	Operacija uraslog nokta
2129	Nekrektomija i obrada rane
2130	Operacija pilonidalne ciste, klasična
2131	Drenaža pleure
2132	Postoperativna punkcija i evakuacija sadržaja
2133	Incizija gnojne kože i potkožnog tkiva
2134	Rektoskopija
2135	Mala hirurška intervencija
2136	Mala obrada rane
2137	Operacija pupčane kile
2138	Obrada rane - velika
2139	Obrada rane - srednja
2140	Obrada rane - mala
2141	Obrada rane - Steri-Strip
2142	Bris rane
2143	Aspiraciona punkcija ciste
2144	Operacija benignih tumora dojki
2145	Operacija perianalne fistule
2146	Operacija analne fisure
2147	Operacija hemoroida, klasična
2148	Gumena ligatura hemoroida, po čvoru
2151	Operacija hidrocele
2152	Cirkumcizija (lokalna anestezija)
2153	Cirkumcizija (spinalna/opšta anestezija)
2154	Subkapsularna orhiektomija (lokalna anestezija)
2155	Subkapsularna orhiektomija (spinalna/opšta anestezija)
2156	Uklanjanje kondiloma manje lezije (lokalna anestezija)
2157	Uklanjanje kondiloma veće lezije (lokalna anestezija)
2158	Frenulotomija (lokalna anestezija)
2159	Ortopedski pregled sa blokadom
2160	Ortopedski pregled sa 1 PRP tretmanom
2161	Ortopedski pregled sa 2 PRP tretmana
2162	Punkcija zgloba
2163	Botoks injekcija
2164	Hidratacija kože
2165	Hijaluron filer
2166	Hijaluron filer Charmony
2167	Jalupro biorevitalizacija kože
2168	Jalupro Super Hydro tretman
2169	Kenalog injekcija I zona
2170	Kenalog injekcija II zona
2171	Profesorski pregled kardiologa sa ultrazvukom
2172	Profesorski pregled ortopeda sa ultrazvukom
2173	Profesorski pregled gastroenterologa sa ultrazvukom
2174	Specijalistički pregled 1
2175	Specijalistički pregled 2
2176	Specijalistički pregled 3
2177	Kontrolni specijalistički pregled 1
2178	Kontrolni specijalistički pregled 2
2179	Kontrolni specijalistički pregled 3
2180	Specijalistički pregled sa dodatnom medicinskom uslugom
2181	Specijalistički pregled sa dvije dodatne medicinske usluge
2182	Kućna posjeta - uži dio grada (tehničar)
2183	Kućna posjeta - prigradska naselja (tehničar)
2184	Kućna posjeta - prigradska naselja
2185	Kućna posjeta van grada
2186	Sistematski pregled paket 3
2187	Dermatoskopija
2188	Dermodeks test
2189	Hirurški pregled
2190	Kontrolni hirurški pregled
2191	Hirurški pregled sa ultrazvukom
2192	Biopsija limfnih čvorova
2193	Toaleta rane i zavoj
2194	Operacija kile obostrano
2195	Hirurška intervencija u lokalnoj anesteziji
2196	Hirurška intervencija u opštoj anesteziji
2197	Bris rane - uzorkovanje
2198	Operacija hemoroida, laserska
2199	Cirkumcizija (opšta anestezija)
2200	Cistoskopija (muškarci)
2201	Cistoskopija (žene)
2202	Frenulotomija (opšta anestezija)
2203	Subkapsularna orhiektomija (opšta anestezija)
2204	Ortopedski pregled sa 1 PRP tretmanom - kontrola
2205	Ortopedski pregled sa 2 PRP tretmana - kontrola
2206	Gips imobilizacija sa pregledom
2207	Intraartikularna injekcija bez ultrazvuka
2208	Intraartikularna injekcija bez ultrazvuka - kontrola
2209	Karpal tunel operacija
2210	Ortopedska repozicija
2211	Ortopedska repozicija sa RTG i gips imobilizacijom
2212	ACP terapija (plazma terapija za zglobove)
2213	ACP MAX terapija (ojačana plazma terapija)
2214	Hyalubrix injekcija (hijaluronska kiselina za zglobove)
2215	Gastroskopija bez anestezije
2216	Gastroskopija sa anestezijom
2217	Kolonoskopija bez anestezije
