page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
2	D	OPERACIJE SA ANESTEZIJOM	D01060	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	SUPRACERVIKALNA HISTEREKTOMIJA, SUBTOTALNA HISTEREKTOMIJA	917.40
2	D	OPERACIJE SA ANESTEZIJOM	D01061	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	RADIKALNA HISTEREKTOMIJA SEC WERIHEIM MEIGS	1668.00
2	D	OPERACIJE SA ANESTEZIJOM	D01062	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	RESEKCIJA TUBE (STOMATOPLASTIKA) OBOSTRANO	500.40
2	D	OPERACIJE SA ANESTEZIJOM	D01063	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	OVARIOTOMIA. SALPINGO-OVARIOTOMIJA, DRENAŽA ABSCESA	667.20
2	D	OPERACIJE SA ANESTEZIJOM	D01064	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	SUBTOT ABDOMIN HISTEREKTO SA OBOSTRANOM ILI JEDNOSTR ADNEKSE	917.40
2	D	OPERACIJE SA ANESTEZIJOM	D01065	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LOOP EKSCIZIJA	125.10
2	D	OPERACIJE SA ANESTEZIJOM	D01066	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	CERVIKOPLASTIKA PO EMMETU	250.20
2	D	OPERACIJE SA ANESTEZIJOM	D01067	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	DRUGE OPERACIJE CERVIKSA	250.20
2	D	OPERACIJE SA ANESTEZIJOM	D01068	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	ODSTRANJENJE VANMATERIČNE TRUDNOĆE (ABDOMINALNE, OVARIJALNE)	333.60
2	D	OPERACIJE SA ANESTEZIJOM	D01069	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	ODSTRANJENJE VANMATERIČNE TRUDNOĆE (ABDOMINAL, OVARIJAL)-LAP	333.60
2	D	OPERACIJE SA ANESTEZIJOM	D01070	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	DONJA SREDIŠNJA EKSPLORATIVNA LAPAROTOMIJA	417.00
2	D	OPERACIJE SA ANESTEZIJOM	D01071	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	STERILISATIO ABDOMINALIS LAPAROSKOPSKI	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01072	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LINEAR SALPINGTOM,SEGMEN EKSCIZ I FIMBRIJ EKSPRES-KLASIČNA	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01073	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LINEAR SALPINGTOM,SEGMEN EKSCIZ I FIMBRIJ EKSPRES-LAPARASKOP	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01074	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	RESUTURA DEHISCIRANE RANE PREDNJEG TRBUŠNOG ZIDA ILI VAGINE	250.20
2	D	OPERACIJE SA ANESTEZIJOM	D01075	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	REPARACIJA VULVE I PERINEUMA	417.00
2	D	OPERACIJE SA ANESTEZIJOM	D01076	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	SUBTOTAL ABDOM HISTEREK SA KONZERVACIJ ADNEKSA	917.40
2	D	OPERACIJE SA ANESTEZIJOM	D01077	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOTALNA ABDOMINALNA HISTEREKTOMIJA SA KONZERVACIJOM ADNEKSA	1084.20
3	D	OPERACIJE SA ANESTEZIJOM	D02001	D02	OPERACIJE - HIRURGIJA	EKSCIZIJA PILONIDALNOG SINUSA ILI CISTE - OTVORENA	125.10
3	D	OPERACIJE SA ANESTEZIJOM	D02002	D02	OPERACIJE - HIRURGIJA	TIREOIDEKTOMIJA PARCIJALNA,UNILATERALNA	667.20
3	D	OPERACIJE SA ANESTEZIJOM	D02003	D02	OPERACIJE - HIRURGIJA	VEĆA RESEKCIJA VENE SAPHENE EXTERNE I SUSJEDNIH VENA,UNILATE	291.90
